# Pipeline Activity Log - ResNet152 with RAM+SSD+RPC Caching
# FETCH: timestamp,worker_id,image_idx,fetch_time,source (RAM|SSD|RPC|S3)
# PROCESS: timestamp,main_id,batch_size,indices
FETCH,1762987387.708,52600,530,0.330,S3
FETCH,1762987387.708,52599,319,0.334,S3
FETCH,1762987387.723,52598,574,0.362,S3
FETCH,1762987387.747,52600,702,0.039,S3
FETCH,1762987387.752,52599,87,0.044,S3
FETCH,1762987387.756,52597,839,0.394,S3
FETCH,1762987387.805,52599,173,0.052,S3
FETCH,1762987387.810,52598,946,0.087,S3
FETCH,1762987387.820,52597,133,0.064,S3
FETCH,1762987387.836,52600,69,0.088,S3
FETCH,1762987387.847,52599,67,0.042,S3
FETCH,1762987387.870,52598,888,0.060,S3
FETCH,1762987387.874,52600,775,0.038,S3
FETCH,1762987387.879,52597,453,0.060,S3
FETCH,1762987387.896,52599,339,0.049,S3
FETCH,1762987387.954,52597,439,0.075,S3
FETCH,1762987387.957,52599,186,0.061,S3
FETCH,1762987387.957,52598,314,0.087,S3
FETCH,1762987387.957,52600,498,0.083,S3
FETCH,1762987388.000,52599,272,0.042,S3
FETCH,1762987388.000,52598,30,0.042,S3
FETCH,1762987388.007,52597,634,0.053,S3
FETCH,1762987388.014,52600,639,0.056,S3
FETCH,1762987388.053,52599,273,0.053,S3
FETCH,1762987388.062,52600,5,0.048,S3
FETCH,1762987388.096,52599,672,0.043,S3
FETCH,1762987388.096,52598,378,0.096,S3
FETCH,1762987388.110,52597,970,0.103,S3
FETCH,1762987388.121,52600,47,0.058,S3
FETCH,1762987388.159,52599,191,0.063,S3
FETCH,1762987388.164,52598,812,0.068,S3
FETCH,1762987388.168,52600,438,0.047,S3
FETCH,1762987388.178,52597,160,0.068,S3
FETCH,1762987388.214,52599,940,0.055,S3
FETCH,1762987388.231,52598,567,0.066,S3
FETCH,1762987388.231,52597,898,0.052,S3
FETCH,1762987388.239,52600,383,0.071,S3
FETCH,1762987388.273,52598,448,0.042,S3
FETCH,1762987388.291,52599,100,0.077,S3
FETCH,1762987388.322,52598,516,0.049,S3
FETCH,1762987388.322,52597,669,0.091,S3
FETCH,1762987388.337,52599,706,0.046,S3
FETCH,1762987388.349,52600,376,0.110,S3
FETCH,1762987388.372,52598,197,0.050,S3
FETCH,1762987388.401,52600,934,0.052,S3
FETCH,1762987388.414,52597,561,0.091,S3
FETCH,1762987388.424,52598,329,0.052,S3
FETCH,1762987388.425,52599,238,0.087,S3
FETCH,1762987388.465,52600,629,0.063,S3
FETCH,1762987388.469,52597,972,0.055,S3
FETCH,1762987388.484,52599,264,0.059,S3
FETCH,1762987388.484,52598,885,0.060,S3
FETCH,1762987388.539,52600,36,0.075,S3
FETCH,1762987388.540,52599,480,0.055,S3
FETCH,1762987388.544,52598,507,0.060,S3
FETCH,1762987388.599,52600,761,0.059,S3
FETCH,1762987388.599,52599,397,0.059,S3
FETCH,1762987388.612,52597,216,0.142,S3
FETCH,1762987388.657,52600,941,0.058,S3
FETCH,1762987388.661,52597,800,0.049,S3
FETCH,1762987388.694,52600,460,0.037,S3
FETCH,1762987388.705,52598,350,0.161,S3
FETCH,1762987388.713,52597,714,0.053,S3
FETCH,1762987388.715,52599,860,0.116,S3
FETCH,1762987388.735,52600,485,0.041,S3
FETCH,1762987388.766,52598,586,0.061,S3
FETCH,1762987388.768,52599,537,0.052,S3
FETCH,1762987388.773,52597,546,0.059,S3
FETCH,1762987388.784,52600,851,0.048,S3
FETCH,1762987388.816,52599,722,0.048,S3
FETCH,1762987388.825,52598,477,0.059,S3
FETCH,1762987388.846,52597,492,0.074,S3
