# Pipeline Activity Log - ResNet152 with Caching
# Format: ACTIVITY_TYPE,TIMESTAMP,PROCESS_ID,DATA
# FETCH: Worker fetches image (timestamp,worker_id,image_idx,fetch_time,source)
#   source: RAM, SSD, or S3
# PROCESS: Main process processes batch (timestamp,main_id,batch_size,image_indices)
#
FETCH,1762883539.483,44325,648,0.269,S3
FETCH,1762883539.505,44327,669,0.291,S3
FETCH,1762883539.545,44328,773,0.331,S3
FETCH,1762883539.552,44326,85,0.420,S3
FETCH,1762883539.562,44325,404,0.079,S3
FETCH,1762883539.572,44327,845,0.067,S3
FETCH,1762883539.607,44328,112,0.061,S3
FETCH,1762883539.618,44325,815,0.056,S3
FETCH,1762883539.628,44326,960,0.076,S3
FETCH,1762883539.652,44327,471,0.080,S3
FETCH,1762883539.678,44325,169,0.060,S3
FETCH,1762883539.688,44328,56,0.081,S3
FETCH,1762883539.734,44326,236,0.106,S3
FETCH,1762883539.744,44327,287,0.091,S3
FETCH,1762883539.751,44328,587,0.063,S3
FETCH,1762883539.752,44325,670,0.074,S3
FETCH,1762883539.796,44326,555,0.062,S3
FETCH,1762883539.814,44328,302,0.063,S3
FETCH,1762883539.824,44327,101,0.081,S3
FETCH,1762883539.856,44326,586,0.060,S3
FETCH,1762883539.876,44328,269,0.062,S3
FETCH,1762883539.882,44327,181,0.057,S3
FETCH,1762883539.882,44325,170,0.129,S3
FETCH,1762883539.911,44326,357,0.054,S3
FETCH,1762883539.963,44328,263,0.087,S3
FETCH,1762883539.963,44325,823,0.081,S3
FETCH,1762883539.970,44326,749,0.060,S3
FETCH,1762883540.017,44327,784,0.135,S3
FETCH,1762883540.029,44328,442,0.066,S3
FETCH,1762883540.030,44325,524,0.067,S3
FETCH,1762883540.080,44325,499,0.050,S3
FETCH,1762883540.080,44326,217,0.110,S3
FETCH,1762883540.093,44327,191,0.077,S3
FETCH,1762883540.103,44328,210,0.074,S3
FETCH,1762883540.146,44327,319,0.053,S3
FETCH,1762883540.153,44325,308,0.072,S3
FETCH,1762883540.160,44328,918,0.057,S3
FETCH,1762883540.161,44326,295,0.080,S3
FETCH,1762883540.215,44328,685,0.055,S3
FETCH,1762883540.231,44326,376,0.070,S3
FETCH,1762883540.232,44327,273,0.086,S3
FETCH,1762883540.271,44325,781,0.118,S3
